generalConcepts,question,answers,correctanswer
الأساسيات,What is the correct value to return to the operating system upon the successful completion of a program?,"['-1', '1', '0', 'Programs do not return a value.']",0
الأساسيات,Which of the following is a correct comment?,"['*/ Comments */', '** Comment **', '/* Comment */', '{ Comment }']",/* Comment */
الأساسيات,What punctuation ends most lines of C++ code?,"['.', ';', ':', '\'']",;
الأساسيات,أي مما يلي يستخدم لعمل سطر جديد في C ++؟,"['\\n', 'nc', '/nc']",\n
الأساسيات,ما هو الرمز المسموح به في الـ identifier name ؟,"['$', '@', '_', '-']",_
الأساسيات,What punctuation is used to signal the beginning and end of code blocks?,"['{ }', '-> and <-', 'BEGIN and END', '( and )']",{ }
الأساسيات,What punctuation is used to signal the beginning and end of code blocks?,"['{ }', '-> and <-',  'BEGIN and END', '( and )']",{ }
الأساسيات,Which of the following is used for comments in C++?,"['// comment', '/* comment */', 'both // comment or /* comment */', '// comment */']",both // comment or /* comment */
الأساسيات,C++ is _____________,"['Both procedural & object oriented programming language', 'Procedural programming language', 'Functional programming language']",Both procedural & object oriented programming language
الأساسيات,How to input age in C++?,"['cin<<age;', 'cin>>age;', 'cin<<""age"";', 'cppin>>age;']",cin>>age;
الأساسيات,Identify the correct output statement in C++.,"['cout<<""MindSpace Computers"";', 'cout>>""MindSpace Computers"";', 'cin<<""MindSpace Computers"";', 'cin>>""MindSpace Computers"";']","cout<<""MindSpace Computers"";"
الأساسيات,"Considering:
rollno=25
per=78.9
How to print following?
Roll No is 25 and Percent are 78.9","['cout<<""Roll No is ""<<""rollno""<<"" and Percent are ""<<""per"";', 'cout<<""Roll No is ""<<rollno<<"" and Percent are ""<<per;', 'cout>>""Roll No is "">>rollno>>"" and Percent are "">>per;', 'None of the above']","cout<<""Roll No is ""<<rollno<<"" and Percent are ""<<per;"
الأساسيات,iostream,"['Displays output from the screen and input from the keyboard', 'Has all the math equations', 'Counts the time', 'Checks if the code has a function']",Displays output from the screen and input from the keyboard
الأساسيات,Which statement is used to go on newline in C++?,"['endline', 'endl', 'lend', 'lineend']",endl
الأساسيات,C++ is a,"['high-level language', 'low-level language']",high-level language
الأساسيات,في C ++ ، الـ cout موجود في أي مكتبة؟,"['ctype.h', 'stdlib.h', 'math.h', 'iostream.h']",iostream.h
