index,Consept,required,img_src,code,output,Explanation,hint,generalConcepts,difficulty,mapped_required_time,emptying,concept_emptying2
0,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال خمسة أعداد ثم يعرض له متوسط هذه الأعداد.
ملاحظة: كل عدد يتم إدخاله يجب أن يتم تخزينه في متغير. أي ممنوع إستخدام مصفوفة.",,"
#include <iostream>

int main() {
	double n1, n2, n3, n4, n5, avg;

	std::cout << ""Enter n1: "";
	std::cin >> n1;

	std::cout << ""Enter n2: "";
	std::cin >> n2;

	std::cout << ""Enter n3: "";
	std::cin >> n3;

	std::cout << ""Enter n4: "";
	std::cin >> n4;

	std::cout << ""Enter n5: "";
	std::cin >> n5;

	avg = (n1 + n2 + n3 + n4 + n5) / 5;

	std::cout << ""Average = "" << avg;

	char end; std::cin >> end;
	return 0;

}
		","

				Enter n1: 7 
				Enter n2: 4 
				Enter n3: 9 
				Enter n4: 1 
				Enter n5: 3 
				Average = 4.8
			
",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,"مثال: إذا قام المستخدم بإدخال الأعداد 7 , 4 , 9 , 1 , 3 فستكون النتيجة كالتالي.

Enter n1: 7
Enter n2: 4
Enter n3: 9
Enter n4: 1
Enter n5: 3
Average = 4.8
	","['أنواع البيانات', 'الأساسيات']",0.0,11.25,5.0,"[2.142857142857143, 2.142857142857143]"
1,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له ناتج جمعمها, طرحهما, ضربهما و قسمتهما.
مثال: إذا قام المستخدم بإدخال الرقمين 14 و 5 فستكون النتيجة كالتالي.

Enter first number: 14
Enter second number: 5
14 + 5 = 19
14 - 5 = 9
14 * 5 = 70
14 / 5 = 2
	",,"
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	std::cout << x << "" + "" << y << "" = "" << x + y << ""\n"";
	std::cout << x << "" - "" << y << "" = "" << x - y << ""\n"";
	std::cout << x << "" * "" << y << "" = "" << x * y << ""\n"";
	std::cout << x << "" / "" << y << "" = "" << x / y << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 14
Enter second number: 5
14 + 5 = 19
14 - 5 = 9
14 * 5 = 70
14 / 5 = 2
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 14 و 5 عند التشغيل.,,"['أنواع البيانات', 'الأساسيات']",2.4723152201905827,7.486157610095291,5.0,"[2.6190476190476186, 2.6190476190476186]"
2,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال ثلاث أرقام و خزنها في ثلاث متغيرات (a - b - c ), ثم يعرض له أصغر رقم تم إدخاله.",,"
#include <iostream>

int main() {

	int a, b, c, maximum;

	std::cout << ""Enter a: "";
	std::cin >> a;

	std::cout << ""Enter b: "";
	std::cin >> b;

	std::cout << ""Enter c: "";
	std::cin >> c;

	maximum = (a > b) ? a : b;
	maximum = (maximum > c) ? maximum : c;

	std::cout << ""The max number is: "" << maximum;

	char end; std::cin >> end;
	return 0;

}
		","Enter a: 2
Enter b: 7
Enter c: 5
The min number is: 2","سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الأرقام 2, 7 و 5 عند التشغيل.","مثال: إذا قام المستخدم بإدخال الأرقام 2, 7 و 5 فستكون النتيجة كالتالي.

Enter a: 2
Enter b: 7
Enter c: 5
The min number is: 2","['أنواع البيانات', 'الأساسيات']",3.626062322946181,9.313031161473091,5.923532947772964,"[3.4030824111624165, 3.4030824111624165]"
3,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقم الشهر, و بعدها سيقوم بطباعة إسم الشهر باللغة الإنجليزية.
	رقم الشهر يجب أن يكون بين 1 و 12.
	في حال قام المستخدم بإدخال رقم أصغر من 1 أو أكبر من 12 سيتم عرض الرسالة التالية له ""Error input, Month number should be between 1 and 12."".",,"
#include <iostream>

int main() {
	int month;

	std::cout << ""Month number: "";
	std::cin >> month;

	std::cout << ""Month name: "";

	switch (month)
	{
		case 1:
			std::cout << ""January"";
			break;
		case 2:
			std::cout << ""February"";
			break;
		case 3:
			std::cout << ""March"";
			break;
		case 4:
			std::cout << ""April"";
			break;
		case 5:
			std::cout << ""May"";
			break;
		case 6:
			std::cout << ""June"";
			break;
		case 7:
			std::cout << ""July"";
			break;
		case 8:
			std::cout << ""August"";
			break;
		case 9:
			std::cout << ""September"";
			break;
		case 10:
			std::cout << ""October"";
			break;
		case 11:
			std::cout << ""November"";
			break;
		case 12:
			std::cout << ""December"";
			break;
		default:
			std::cout << ""Error input, Month number should be between 1 and 12."";
			break;
	}

	char end; std::cin >> end;
	return 0;

}
		","
Month number: 5
Month name: May
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,"مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Month number: 5
Month name: May
	","['الشروط', 'أنواع البيانات', 'الأساسيات']",6.798866855524084,53.39943342776204,21.51869862522665,"[7.860184765109914, 9.077661446504122, 9.077661446504122]"
4,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له قائمة خيارات يمكن تطبيقها على هذين الرقمين.
	المستخدم سيكون عليه إدخال رقم الخيار فقط حتى يتم تنفيذه.
الخيار 0 لإيقاف البرنامج.
الخيار 1 لإطباعة ناتج جمع العددين.
الخيار 2 لإطباعة ناتج طرح العددين.
الخيار 3 لإطباعة ناتج شرب العددين.
الخيار 4 لإطباعة ناتج قسمة العددين.
",,"
#include <iostream>

int main() {
	double a, b;
	int option = -1;

	std::cout << ""Enter first number: "";
	std::cin >> a;

	std::cout << ""Enter second number: "";
	std::cin >> b;

	std::cout << (
		""\nWrite down the operation number then press enter\n""
		""0: To end the program.\n""
		""1: To print the sum.\n""
		""2: To print the subtraction.\n""
		""3: To print the multiplication.\n""
		""4: To print the division."");

	while (option != 0)
	{
		std::cout << ""\n-------------------------\n"";
		std::cout << ""Enter option: "";
		std::cin >> option;

		switch (option)
		{
		case 0:
			std::cout << ""Program end."";
			break;
		case 1:
			std::cout << a << "" + "" << b << "" = "" << (a + b);
			break;
		case 2:
			std::cout << a << "" - "" << b << "" = "" << (a - b);
			break;
		case 3:
			std::cout << a << "" * "" << b << "" = "" << (a * b);
			break;
		case 4:
			std::cout << a << "" / "" << b << "" = "" << (a / b);
			break;
		}
	}

	char end; std::cin >> end;
	return 0;

}
		","

				Enter first number:  1 
Enter second number:  4 

Write down the operation number then press enter
				0: To end the program.
				1: To print the sum.
				2: To print the subtraction.
				3: To print the multiplication.
				4: To print the division.
				-------------------------
				Enter option:  1 
1 + 4 = 5
-------------------------
				Enter option:  2 
1 - 4 = -3
-------------------------
				Enter option:  3 
1 * 4 = 4
-------------------------
				Enter option:  4 
1 / 4 = 0.25
-------------------------
				Enter option:  0 
Program end.

","إذا قام المستخدم بإدخال الرقمين 1 و 4. ثم قام بتجربة كل الخيارات الموجودة في القائمة, فستكون النتيجة كالتالي.
		قمنا بتعليم المعلومات التي أدخلها المستخدم باللون الأصفر و النتائج التي ظهرت له بعد إدخالها باللون الأزرق.",,"['الحلقات', 'الشروط', 'أنواع البيانات', 'الأساسيات']",20.99299239600417,46.746496198002085,22.40888177210781,"[7.982447770189783, 8.844197704104666, 9.850579638321651, 9.850579638321651]"
5,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقم أكبر من 0, ثم يعرض له ناتج جمع جميع الأرقام من 1 لهذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Enter a number: 5
S = 1 + 2 + 3 + 4 + 5
S = 15
	",,"
#include <iostream>

int main() {

	int n, s = 0;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	std::cout << ""S = "";

	for (int i = 1; i <= n; i++)
	{
		std::cout << i << ((i < n) ? "" + "" : """");
		s += i;
	}

	std::cout << ""\nS = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 5
S = 1 + 2 + 3 + 4 + 5
S = 15
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,,"['الحلقات', 'أنواع البيانات', 'الأساسيات']",29.00849858356941,19.504249291784703,25.063876973630904,"[9.380266683517993, 11.211768515019823, 11.211768515019823]"
6,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقم أكبر من 0, ثم يعرض له ناتج ضرب جميع الأرقام من 1 لهذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Enter a number: 5
M = 1 * 2 * 3 * 4 * 5
M = 120
	",,"
#include <iostream>

int main() {

	int n, m = 1;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	std::cout << ""M = "";

	for (int i = 1; i <= n; i++)
	{
		std::cout << i << ((i < n) ? "" * "" : """");
		m *= i;
	}

	std::cout << ""\nM = "" << m;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 5
M = 1 * 2 * 3 * 4 * 5
M = 120
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,,"['الحلقات', 'أنواع البيانات', 'الأساسيات']",29.00849858356941,19.504249291784703,27.831937451537776,"[10.815774022307464, 12.610645817179257, 12.610645817179257]"
7,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له من هو العدد الأكبر بينهما, و في حال كانا متساويان سيعرض له أنهما كذلك.
مثال: إذا قام المستخدم بإدخال الرقمين 3 و 8 فستكون النتيجة كالتالي.

Enter first number: 3
Enter second number: 8
The biggest number is '8'
	",,"
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	if (x == y)
	{
		std::cout << ""They are equal"";
	}
	else
	{
		std::cout << ""The biggest number is '"" << ((x > y) ? x : y) << ""'"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 3
Enter second number: 8
The biggest number is '8'
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 3 و 8 عند التشغيل.,,"['الشروط', 'أنواع البيانات', 'الأساسيات']",37.08472830285861,24.792364151429304,29.809123507185546,"[11.998230172498275, 13.745898311918992, 13.745898311918992]"
8,إجراء عمليات حسابية,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له من هو العدد الأصغر بينهما, و في حال كانا متساويان سيعرض له أنهما كذلك.
مثال: إذا قام المستخدم بإدخال الرقمين 3 و 8 فستكون النتيجة كالتالي.

Enter first number: 3
Enter second number: 8
The lowest number is '3'
	",,"
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	if (x == y)
	{
		std::cout << ""They are equal"";
	}
	else
	{
		std::cout << ""The lowest number is '"" << ((x < y) ? x : y) << ""'"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 3
Enter second number: 8
The lowest number is '3'
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 3 و 8 عند التشغيل.,,"['الشروط', 'أنواع البيانات', 'الأساسيات']",37.08472830285861,24.792364151429304,32.04623162293596,"[13.43121810111611, 14.967791493359606, 14.967791493359606]"
9,التعامل مع الأرقام و النصوص,"أكتب برنامج يطلب من المستخدم إدخال رقم. بعدها يعرض له ناتج جمع أعداد هذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 123 فسيتم حساب مجموع أعداده هكذا 1 + 2 + 3 و النتيجة ستكون 6.",,"
#include <iostream>

int main() {

	int n;
	int s = 0;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	while (n != 0)
	{
		s += n % 10;
		n /= 10;
	}

	std::cout << ""The sum of the digits is: "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 1234
The sum of the digits is: 10
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 1234 عند التشغيل.,"إذا كنت تتعامل مع عدد صحيح إسمه n و قلت n % 10 فأنت بذلك ستحصل على أخر عدد موجود في الرقم.
	و إذا قلت n / 10 فأنت بذلك ستتخلص من أخر عدد كان موجوداً في الرقم.","['الحلقات', 'أنواع البيانات', 'الأساسيات']",38.52691218130312,24.26345609065156,33.786204601852944,"[13.3133502518997, 16.023972962522407, 16.023972962522407]"
