id,question,correctAnswerSample,output,explanation,hint,img_src,difficulties,times,hints
1,"أكتب برنامج يطلب من المستخدم إدخال خمسة أعداد ثم يعرض له متوسط هذه الأعداد.
ملاحظة: كل عدد يتم إدخاله يجب أن يتم تخزينه في متغير. أي ممنوع إستخدام مصفوفة.","
#include <iostream>

int main() {
	double n1, n2, n3, n4, n5, avg;

	std::cout << ""Enter n1: "";
	std::cin >> n1;

	std::cout << ""Enter n2: "";
	std::cin >> n2;

	std::cout << ""Enter n3: "";
	std::cin >> n3;

	std::cout << ""Enter n4: "";
	std::cin >> n4;

	std::cout << ""Enter n5: "";
	std::cin >> n5;

	avg = (n1 + n2 + n3 + n4 + n5) / 5;

	std::cout << ""Average = "" << avg;

	char end; std::cin >> end;
	return 0;

}
		","

				Enter n1: 7 
				Enter n2: 4 
				Enter n3: 9 
				Enter n4: 1 
				Enter n5: 3 
				Average = 4.8
			
",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,"مثال: إذا قام المستخدم بإدخال الأعداد 7 , 4 , 9 , 1 , 3 فستكون النتيجة كالتالي.

Enter n1: 7
Enter n2: 4
Enter n3: 9
Enter n4: 1
Enter n5: 3
Average = 4.8
	",,"[{'difficulty': '0.000', 'project': 1}]","[{'time': '11.250', 'project': 1}]","[{'required_concept_hint': ""{'أنواع البيانات': 2.1429, 'الأساسيات': 2.1429}"", 'project': 1}]"
2,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له ناتج جمعمها, طرحهما, ضربهما و قسمتهما.
مثال: إذا قام المستخدم بإدخال الرقمين 14 و 5 فستكون النتيجة كالتالي.

Enter first number: 14
Enter second number: 5
14 + 5 = 19
14 - 5 = 9
14 * 5 = 70
14 / 5 = 2
	","
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	std::cout << x << "" + "" << y << "" = "" << x + y << ""\n"";
	std::cout << x << "" - "" << y << "" = "" << x - y << ""\n"";
	std::cout << x << "" * "" << y << "" = "" << x * y << ""\n"";
	std::cout << x << "" / "" << y << "" = "" << x / y << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 14
Enter second number: 5
14 + 5 = 19
14 - 5 = 9
14 * 5 = 70
14 / 5 = 2
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 14 و 5 عند التشغيل.,,,"[{'difficulty': '2.472', 'project': 2}]","[{'time': '7.486', 'project': 2}]","[{'required_concept_hint': ""{'أنواع البيانات': 2.619, 'الأساسيات': 2.619}"", 'project': 2}]"
3,"أكتب برنامج يطلب من المستخدم إدخال ثلاث أرقام و خزنها في ثلاث متغيرات (a - b - c ), ثم يعرض له أصغر رقم تم إدخاله.","
#include <iostream>

int main() {

	int a, b, c, maximum;

	std::cout << ""Enter a: "";
	std::cin >> a;

	std::cout << ""Enter b: "";
	std::cin >> b;

	std::cout << ""Enter c: "";
	std::cin >> c;

	maximum = (a > b) ? a : b;
	maximum = (maximum > c) ? maximum : c;

	std::cout << ""The max number is: "" << maximum;

	char end; std::cin >> end;
	return 0;

}
		","Enter a: 2
Enter b: 7
Enter c: 5
The min number is: 2","سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الأرقام 2, 7 و 5 عند التشغيل.","مثال: إذا قام المستخدم بإدخال الأرقام 2, 7 و 5 فستكون النتيجة كالتالي.

Enter a: 2
Enter b: 7
Enter c: 5
The min number is: 2",,"[{'difficulty': '3.626', 'project': 3}]","[{'time': '9.313', 'project': 3}]","[{'required_concept_hint': ""{'أنواع البيانات': 3.4031, 'الأساسيات': 3.4031}"", 'project': 3}]"
4,"أكتب برنامج يطلب من المستخدم إدخال رقم الشهر, و بعدها سيقوم بطباعة إسم الشهر باللغة الإنجليزية.
	رقم الشهر يجب أن يكون بين 1 و 12.
	في حال قام المستخدم بإدخال رقم أصغر من 1 أو أكبر من 12 سيتم عرض الرسالة التالية له ""Error input, Month number should be between 1 and 12."".","
#include <iostream>

int main() {
	int month;

	std::cout << ""Month number: "";
	std::cin >> month;

	std::cout << ""Month name: "";

	switch (month)
	{
		case 1:
			std::cout << ""January"";
			break;
		case 2:
			std::cout << ""February"";
			break;
		case 3:
			std::cout << ""March"";
			break;
		case 4:
			std::cout << ""April"";
			break;
		case 5:
			std::cout << ""May"";
			break;
		case 6:
			std::cout << ""June"";
			break;
		case 7:
			std::cout << ""July"";
			break;
		case 8:
			std::cout << ""August"";
			break;
		case 9:
			std::cout << ""September"";
			break;
		case 10:
			std::cout << ""October"";
			break;
		case 11:
			std::cout << ""November"";
			break;
		case 12:
			std::cout << ""December"";
			break;
		default:
			std::cout << ""Error input, Month number should be between 1 and 12."";
			break;
	}

	char end; std::cin >> end;
	return 0;

}
		","
Month number: 5
Month name: May
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,"مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Month number: 5
Month name: May
	",,"[{'difficulty': '6.799', 'project': 4}]","[{'time': '53.399', 'project': 4}]","[{'required_concept_hint': ""{'الشروط': 7.8602, 'أنواع البيانات': 9.0777, 'الأساسيات': 9.0777}"", 'project': 4}]"
5,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له قائمة خيارات يمكن تطبيقها على هذين الرقمين.
	المستخدم سيكون عليه إدخال رقم الخيار فقط حتى يتم تنفيذه.
الخيار 0 لإيقاف البرنامج.
الخيار 1 لإطباعة ناتج جمع العددين.
الخيار 2 لإطباعة ناتج طرح العددين.
الخيار 3 لإطباعة ناتج شرب العددين.
الخيار 4 لإطباعة ناتج قسمة العددين.
","
#include <iostream>

int main() {
	double a, b;
	int option = -1;

	std::cout << ""Enter first number: "";
	std::cin >> a;

	std::cout << ""Enter second number: "";
	std::cin >> b;

	std::cout << (
		""\nWrite down the operation number then press enter\n""
		""0: To end the program.\n""
		""1: To print the sum.\n""
		""2: To print the subtraction.\n""
		""3: To print the multiplication.\n""
		""4: To print the division."");

	while (option != 0)
	{
		std::cout << ""\n-------------------------\n"";
		std::cout << ""Enter option: "";
		std::cin >> option;

		switch (option)
		{
		case 0:
			std::cout << ""Program end."";
			break;
		case 1:
			std::cout << a << "" + "" << b << "" = "" << (a + b);
			break;
		case 2:
			std::cout << a << "" - "" << b << "" = "" << (a - b);
			break;
		case 3:
			std::cout << a << "" * "" << b << "" = "" << (a * b);
			break;
		case 4:
			std::cout << a << "" / "" << b << "" = "" << (a / b);
			break;
		}
	}

	char end; std::cin >> end;
	return 0;

}
		","

				Enter first number:  1 
Enter second number:  4 

Write down the operation number then press enter
				0: To end the program.
				1: To print the sum.
				2: To print the subtraction.
				3: To print the multiplication.
				4: To print the division.
				-------------------------
				Enter option:  1 
1 + 4 = 5
-------------------------
				Enter option:  2 
1 - 4 = -3
-------------------------
				Enter option:  3 
1 * 4 = 4
-------------------------
				Enter option:  4 
1 / 4 = 0.25
-------------------------
				Enter option:  0 
Program end.

","إذا قام المستخدم بإدخال الرقمين 1 و 4. ثم قام بتجربة كل الخيارات الموجودة في القائمة, فستكون النتيجة كالتالي.
		قمنا بتعليم المعلومات التي أدخلها المستخدم باللون الأصفر و النتائج التي ظهرت له بعد إدخالها باللون الأزرق.",,,"[{'difficulty': '20.993', 'project': 5}]","[{'time': '46.746', 'project': 5}]","[{'required_concept_hint': ""{'الحلقات': 7.9824, 'الشروط': 8.8442, 'أنواع البيانات': 9.8506, 'الأساسيات': 9.8506}"", 'project': 5}]"
6,"أكتب برنامج يطلب من المستخدم إدخال رقم أكبر من 0, ثم يعرض له ناتج جمع جميع الأرقام من 1 لهذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Enter a number: 5
S = 1 + 2 + 3 + 4 + 5
S = 15
	","
#include <iostream>

int main() {

	int n, s = 0;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	std::cout << ""S = "";

	for (int i = 1; i <= n; i++)
	{
		std::cout << i << ((i < n) ? "" + "" : """");
		s += i;
	}

	std::cout << ""\nS = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 5
S = 1 + 2 + 3 + 4 + 5
S = 15
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,,,"[{'difficulty': '29.008', 'project': 6}]","[{'time': '19.504', 'project': 6}]","[{'required_concept_hint': ""{'الحلقات': 9.3803, 'أنواع البيانات': 11.2118, 'الأساسيات': 11.2118}"", 'project': 6}]"
7,"أكتب برنامج يطلب من المستخدم إدخال رقم أكبر من 0, ثم يعرض له ناتج ضرب جميع الأرقام من 1 لهذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 5 فستكون النتيجة كالتالي.

Enter a number: 5
M = 1 * 2 * 3 * 4 * 5
M = 120
	","
#include <iostream>

int main() {

	int n, m = 1;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	std::cout << ""M = "";

	for (int i = 1; i <= n; i++)
	{
		std::cout << i << ((i < n) ? "" * "" : """");
		m *= i;
	}

	std::cout << ""\nM = "" << m;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 5
M = 1 * 2 * 3 * 4 * 5
M = 120
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 عند التشغيل.,,,"[{'difficulty': '29.008', 'project': 7}]","[{'time': '19.504', 'project': 7}]","[{'required_concept_hint': ""{'الحلقات': 10.8158, 'أنواع البيانات': 12.6106, 'الأساسيات': 12.6106}"", 'project': 7}]"
8,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له من هو العدد الأكبر بينهما, و في حال كانا متساويان سيعرض له أنهما كذلك.
مثال: إذا قام المستخدم بإدخال الرقمين 3 و 8 فستكون النتيجة كالتالي.

Enter first number: 3
Enter second number: 8
The biggest number is '8'
	","
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	if (x == y)
	{
		std::cout << ""They are equal"";
	}
	else
	{
		std::cout << ""The biggest number is '"" << ((x > y) ? x : y) << ""'"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 3
Enter second number: 8
The biggest number is '8'
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 3 و 8 عند التشغيل.,,,"[{'difficulty': '37.085', 'project': 8}]","[{'time': '24.792', 'project': 8}]","[{'required_concept_hint': ""{'الشروط': 11.9982, 'أنواع البيانات': 13.7459, 'الأساسيات': 13.7459}"", 'project': 8}]"
9,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له من هو العدد الأصغر بينهما, و في حال كانا متساويان سيعرض له أنهما كذلك.
مثال: إذا قام المستخدم بإدخال الرقمين 3 و 8 فستكون النتيجة كالتالي.

Enter first number: 3
Enter second number: 8
The lowest number is '3'
	","
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	if (x == y)
	{
		std::cout << ""They are equal"";
	}
	else
	{
		std::cout << ""The lowest number is '"" << ((x < y) ? x : y) << ""'"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 3
Enter second number: 8
The lowest number is '3'
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 3 و 8 عند التشغيل.,,,"[{'difficulty': '37.085', 'project': 9}]","[{'time': '24.792', 'project': 9}]","[{'required_concept_hint': ""{'الشروط': 13.4312, 'أنواع البيانات': 14.9678, 'الأساسيات': 14.9678}"", 'project': 9}]"
10,"أكتب برنامج يطلب من المستخدم إدخال رقم. بعدها يعرض له ناتج جمع أعداد هذا الرقم.
مثال: إذا قام المستخدم بإدخال الرقم 123 فسيتم حساب مجموع أعداده هكذا 1 + 2 + 3 و النتيجة ستكون 6.","
#include <iostream>

int main() {

	int n;
	int s = 0;

	std::cout << ""Enter a number: "";
	std::cin >> n;

	while (n != 0)
	{
		s += n % 10;
		n /= 10;
	}

	std::cout << ""The sum of the digits is: "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 1234
The sum of the digits is: 10
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 1234 عند التشغيل.,"إذا كنت تتعامل مع عدد صحيح إسمه n و قلت n % 10 فأنت بذلك ستحصل على أخر عدد موجود في الرقم.
	و إذا قلت n / 10 فأنت بذلك ستتخلص من أخر عدد كان موجوداً في الرقم.",,"[{'difficulty': '38.527', 'project': 10}]","[{'time': '24.263', 'project': 10}]","[{'required_concept_hint': ""{'الحلقات': 13.3134, 'أنواع البيانات': 16.024, 'الأساسيات': 16.024}"", 'project': 10}]"
